year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2003	1	7	LXK75	0.62889	2	0.06	0.06	0.06	0.06	0.06
2003	1	8	LXK75	0.62761	2	0.06	0.06	0.06	0.06	0.06
2003	1	9	LXK75	0.62506	2	0.06	0.06	0.06	0.06	0.06
2003	1	10	LXK75	0.62633	2	0.06	0.06	0.06	0.06	0.06
2003	1	11	LXK75	0.62506	2	0.06	0.06	0.06	0.06	0.06
2003	1	12	LXK75	0.62506	2	0.06	0.06	0.06	0.06	0.06
2003	1	13	LXK75	0.6257	2	0.06	0.06	0.06	0.06	0.06
2003	1	14	LXK75	0.62633	2	0.06	0.06	0.06	0.06	0.06
2003	1	15	LXK75	0.62697	2	0.06	0.06	0.06	0.06	0.06
2003	1	16	LXK75	0.62378	2	0.06	0.06	0.06	0.06	0.06
2003	1	17	LXK75	0.62378	2	0.06	0.06	0.06	0.06	0.06
2003	1	18	LXK75	0.62378	2	0.06	0.06	0.06	0.06	0.06
2003	1	19	LXK75	0.62378	2	0.06	0.06	0.06	0.06	0.06
2003	1	20	LXK75	0.6193	2	0.06	0.06	0.06	0.06	0.06
2003	1	21	LXK75	0.61803	2	0.06	0.06	0.06	0.06	0.06
2003	1	22	LXK75	0.61483	2	0.06	0.06	0.06	0.06	0.06
2003	1	23	LXK75	0.61227	2	0.06	0.06	0.06	0.06	0.06
2003	1	24	LXK75	0.61227	2	0.06	0.06	0.06	0.06	0.06
2003	1	25	LXK75	0.61227	2	0.06	0.06	0.06	0.06	0.06
2003	1	26	LXK75	0.61227	2	0.06	0.06	0.06	0.06	0.06
2003	1	27	LXK75	0.6078	2	0.06	0.06	0.06	0.06	0.06
2003	1	28	LXK75	0.60141	2	0.06	0.06	0.06	0.06	0.06
2003	1	29	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	1	30	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	1	31	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	1	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	2	2	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	2	3	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	4	LXK75	0.6078	2	0.06	0.06	0.06	0.06	0.06
2003	2	5	LXK75	0.60333	2	0.06	0.06	0.06	0.06	0.06
2003	2	6	LXK75	0.6046	2	0.06	0.06	0.06	0.06	0.06
2003	2	7	LXK75	0.60141	2	0.06	0.06	0.06	0.06	0.06
2003	2	8	LXK75	0.6046	2	0.06	0.06	0.06	0.06	0.06
2003	2	9	LXK75	0.6046	2	0.06	0.06	0.06	0.06	0.06
2003	2	10	LXK75	0.60077	2	0.06	0.06	0.06	0.06	0.06
2003	2	11	LXK75	0.60077	2	0.06	0.06	0.06	0.06	0.06
2003	2	12	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	2	13	LXK75	0.60077	2	0.06	0.06	0.06	0.06	0.06
2003	2	14	LXK75	0.59885	2	0.06	0.06	0.06	0.06	0.06
2003	2	15	LXK75	0.60077	2	0.06	0.06	0.06	0.06	0.06
2003	2	16	LXK75	0.60077	2	0.06	0.06	0.06	0.06	0.06
2003	2	17	LXK75	0.60269	2	0.06	0.06	0.06	0.06	0.06
2003	2	18	LXK75	0.6046	2	0.06	0.06	0.06	0.06	0.06
2003	2	19	LXK75	0.6078	2	0.06	0.06	0.06	0.06	0.06
2003	2	20	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	21	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	22	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	23	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	24	LXK75	0.60524	2	0.06	0.06	0.06	0.06	0.06
2003	2	25	LXK75	0.60205	2	0.06	0.06	0.06	0.06	0.06
2003	2	26	LXK75	0.59821	2	0.06	0.06	0.06	0.06	0.06
2003	2	27	LXK75	0.59694	2	0.06	0.06	0.06	0.06	0.06
2003	2	28	LXK75	0.59757	2	0.06	0.06	0.06	0.06	0.06
2003	3	1	LXK75	0.59694	2	0.06	0.06	0.06	0.06	0.06
2003	3	2	LXK75	0.59694	2	0.06	0.06	0.06	0.06	0.06
2003	3	3	LXK75	0.60013	2	0.06	0.06	0.06	0.06	0.06
