year	month	bruto
2003	3	405
2003	6	442
2003	9	411
2003	12	455
2004	3	431
2004	6	474
2004	9	449
2004	12	492
2005	3	475
2005	6	530
2005	9	498
2005	12	555
2006	3	549
2006	6	609
2006	9	580
2006	12	653
2007	3	660
2007	6	738
2007	9	697
2007	12	784
2008	3	788
2008	6	850
2008	9	800
2008	12	838
2009	3	776
2009	6	813
2009	9	752
2009	12	783
2010	3	758
2010	6	822
2010	9	759
2010	12	814
2011	3	792
2011	6	857
2011	9	809
2011	12	865
2012	3	847
2012	6	900
2012	9	855
2012	12	916
2013	3	900
2013	6	976
2013	9	930
2013	12	986
2014	3	966
2014	6	1023
2014	9	977
2014	12	1039
2015	3	1010
2015	6	1082
2015	9	1045
2015	12	1105
2016	3	1091
2016	6	1163
