year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2003	1	7	SPK00	0.6519	1	0.06	0.06	0.06	0.06	0.06
2003	1	8	SPK00	0.65254	1	0.06	0.06	0.06	0.06	0.06
2003	1	9	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	10	SPK00	0.65382	1	0.06	0.06	0.06	0.06	0.06
2003	1	11	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	12	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	13	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	14	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	15	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	16	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	17	SPK00	0.65509	1	0.06	0.06	0.06	0.06	0.06
2003	1	18	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	19	SPK00	0.65318	1	0.06	0.06	0.06	0.06	0.06
2003	1	20	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	21	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	22	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	23	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	24	SPK00	0.65701	1	0.06	0.06	0.06	0.06	0.06
2003	1	25	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	26	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
2003	1	27	SPK00	0.65765	1	0.06	0.06	0.06	0.06	0.06
2003	1	28	SPK00	0.65765	1	0.06	0.06	0.06	0.06	0.06
2003	1	29	SPK00	0.65765	1	0.06	0.06	0.06	0.06	0.06
2003	1	30	SPK00	0.65701	1	0.06	0.06	0.06	0.06	0.06
2003	1	31	SPK00	0.65829	1	0.06	0.06	0.06	0.06	0.06
2003	2	1	SPK00	0.65701	1	0.06	0.06	0.06	0.06	0.06
2003	2	2	SPK00	0.65701	1	0.06	0.06	0.06	0.06	0.06
2003	2	3	SPK00	0.65765	1	0.06	0.06	0.06	0.06	0.06
2003	2	4	SPK00	0.65829	1	0.06	0.06	0.06	0.06	0.06
2003	2	5	SPK00	0.65765	1	0.06	0.06	0.06	0.06	0.06
2003	2	6	SPK00	0.65829	1	0.06	0.06	0.06	0.06	0.06
2003	2	7	SPK00	0.65893	1	0.06	0.06	0.06	0.06	0.06
2003	2	8	SPK00	0.65829	1	0.06	0.06	0.06	0.06	0.06
2003	2	9	SPK00	0.65829	1	0.06	0.06	0.06	0.06	0.06
2003	2	10	SPK00	0.65957	1	0.06	0.06	0.06	0.06	0.06
2003	2	11	SPK00	0.65957	1	0.06	0.06	0.06	0.06	0.06
2003	2	12	SPK00	0.66021	1	0.06	0.06	0.06	0.06	0.06
2003	2	13	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	2	14	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	2	15	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	2	16	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	2	17	SPK00	0.66021	1	0.06	0.06	0.06	0.06	0.06
2003	2	18	SPK00	0.66021	1	0.06	0.06	0.06	0.06	0.06
2003	2	19	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	2	20	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	21	SPK00	0.66213	1	0.06	0.06	0.06	0.06	0.06
2003	2	22	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	23	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	24	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	25	SPK00	0.66276	1	0.06	0.06	0.06	0.06	0.06
2003	2	26	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	27	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	2	28	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	3	1	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	3	2	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	3	3	SPK00	0.66149	1	0.06	0.06	0.06	0.06	0.06
2003	3	4	SPK00	0.66213	1	0.06	0.06	0.06	0.06	0.06
2003	3	5	SPK00	0.66213	1	0.06	0.06	0.06	0.06	0.06
2003	3	6	SPK00	0.66276	1	0.06	0.06	0.06	0.06	0.06
2003	3	7	SPK00	0.6634	1	0.06	0.06	0.06	0.06	0.06
2003	3	8	SPK00	0.66276	1	0.06	0.06	0.06	0.06	0.06
2003	3	9	SPK00	0.66276	1	0.06	0.06	0.06	0.06	0.06
2003	3	10	SPK00	0.66404	1	0.06	0.06	0.06	0.06	0.06
2003	3	11	SPK00	0.66404	1	0.06	0.06	0.06	0.06	0.06
2003	3	12	SPK00	0.6634	1	0.06	0.06	0.06	0.06	0.06
2003	3	13	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	3	14	SPK00	0.65957	1	0.06	0.06	0.06	0.06	0.06
2003	3	15	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	3	16	SPK00	0.66085	1	0.06	0.06	0.06	0.06	0.06
2003	3	17	SPK00	0.65957	1	0.06	0.06	0.06	0.06	0.06
2003	3	18	SPK00	0.65701	1	0.06	0.06	0.06	0.06	0.06
2003	3	19	SPK00	0.65573	1	0.06	0.06	0.06	0.06	0.06
