year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2003	1	7	SPK50	0.67619	1	0.06	0.06	0.06	0.06	0.06
2003	1	8	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	1	9	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	10	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	1	11	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	12	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	13	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	1	14	SPK50	0.67682	1	0.06	0.06	0.06	0.06	0.06
2003	1	15	SPK50	0.67746	1	0.06	0.06	0.06	0.06	0.06
2003	1	16	SPK50	0.67746	1	0.06	0.06	0.06	0.06	0.06
2003	1	17	SPK50	0.67619	1	0.06	0.06	0.06	0.06	0.06
2003	1	18	SPK50	0.67746	1	0.06	0.06	0.06	0.06	0.06
2003	1	19	SPK50	0.67746	1	0.06	0.06	0.06	0.06	0.06
2003	1	20	SPK50	0.67491	1	0.06	0.06	0.06	0.06	0.06
2003	1	21	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	1	22	SPK50	0.67299	1	0.06	0.06	0.06	0.06	0.06
2003	1	23	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	24	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	25	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	26	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	1	27	SPK50	0.67171	1	0.06	0.06	0.06	0.06	0.06
2003	1	28	SPK50	0.67235	1	0.06	0.06	0.06	0.06	0.06
2003	1	29	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	1	30	SPK50	0.67555	1	0.06	0.06	0.06	0.06	0.06
2003	1	31	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	1	SPK50	0.67555	1	0.06	0.06	0.06	0.06	0.06
2003	2	2	SPK50	0.67555	1	0.06	0.06	0.06	0.06	0.06
2003	2	3	SPK50	0.67746	1	0.06	0.06	0.06	0.06	0.06
2003	2	4	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	5	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	6	SPK50	0.67235	1	0.06	0.06	0.06	0.06	0.06
2003	2	7	SPK50	0.67235	1	0.06	0.06	0.06	0.06	0.06
2003	2	8	SPK50	0.67235	1	0.06	0.06	0.06	0.06	0.06
2003	2	9	SPK50	0.67235	1	0.06	0.06	0.06	0.06	0.06
2003	2	10	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	11	SPK50	0.67619	1	0.06	0.06	0.06	0.06	0.06
2003	2	12	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	2	13	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	2	14	SPK50	0.67491	1	0.06	0.06	0.06	0.06	0.06
2003	2	15	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	2	16	SPK50	0.67363	1	0.06	0.06	0.06	0.06	0.06
2003	2	17	SPK50	0.67619	1	0.06	0.06	0.06	0.06	0.06
2003	2	18	SPK50	0.67619	1	0.06	0.06	0.06	0.06	0.06
2003	2	19	SPK50	0.67491	1	0.06	0.06	0.06	0.06	0.06
2003	2	20	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	21	SPK50	0.67491	1	0.06	0.06	0.06	0.06	0.06
2003	2	22	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	23	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	24	SPK50	0.67427	1	0.06	0.06	0.06	0.06	0.06
2003	2	25	SPK50	0.67171	1	0.06	0.06	0.06	0.06	0.06
2003	2	26	SPK50	0.66979	1	0.06	0.06	0.06	0.06	0.06
2003	2	27	SPK50	0.66916	1	0.06	0.06	0.06	0.06	0.06
2003	2	28	SPK50	0.67043	1	0.06	0.06	0.06	0.06	0.06
2003	3	1	SPK50	0.66916	1	0.06	0.06	0.06	0.06	0.06
2003	3	2	SPK50	0.66916	1	0.06	0.06	0.06	0.06	0.06
2003	3	3	SPK50	0.67043	1	0.06	0.06	0.06	0.06	0.06
2003	3	4	SPK50	0.66724	1	0.06	0.06	0.06	0.06	0.06
2003	3	5	SPK50	0.6666	1	0.06	0.06	0.06	0.06	0.06
2003	3	6	SPK50	0.66596	1	0.06	0.06	0.06	0.06	0.06
2003	3	7	SPK50	0.6634	1	0.06	0.06	0.06	0.06	0.06
2003	3	8	SPK50	0.66596	1	0.06	0.06	0.06	0.06	0.06
