year	month	day	symbol	nav	kinni	enne55_jatkab	katkestab_3ei	katkestab_3jah	parast55_jatkab_3ei	parast55_jatkab_3jah
2003	1	7	SWK25	0.65318	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	8	SWK25	0.65254	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	9	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	10	SWK25	0.6519	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	11	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	12	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	13	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	14	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	15	SWK25	0.65126	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	16	SWK25	0.65062	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	17	SWK25	0.6487	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	18	SWK25	0.65062	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	19	SWK25	0.65062	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	20	SWK25	0.6487	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	21	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	22	SWK25	0.64615	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	23	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	24	SWK25	0.64551	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	25	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	26	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	27	SWK25	0.64295	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	28	SWK25	0.64487	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	29	SWK25	0.64487	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	30	SWK25	0.64487	1.5	0.06	0.06	0.06	0.06	0.06
2003	1	31	SWK25	0.64679	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	1	SWK25	0.64487	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	2	SWK25	0.64487	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	3	SWK25	0.64806	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	4	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	5	SWK25	0.64679	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	6	SWK25	0.64679	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	7	SWK25	0.64615	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	8	SWK25	0.64679	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	9	SWK25	0.64679	1.5	0.06	0.06	0.06	0.06	0.06
2003	2	10	SWK25	0.64743	1.5	0.06	0.06	0.06	0.06	0.06
